"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"gene 147","gene 147",0.579147788137759,0.767281887591477,0.0478275843279325,0.251326049259647
"gene 655","gene 655",0.459750847819006,1.05815800383164,-0.0282707644237732,0.251611316412856
"gene 106","gene 106",0.7421949743221,0.137503523749935,0.047541367672624,0.252934523745707
"gene 417","gene 417",0.692609572632368,0.317452308288252,0.0474739649176297,0.253314098963817
"gene 752","gene 752",0.537783949751018,0.614817025105513,-0.027939755660201,0.253473112955426
"gene  84","gene  84",0.507228884093904,0.748275385267589,-0.027746889391781,0.254561239699949
"gene 363","gene 363",0.477036252535784,0.925498602148638,-0.0277093891055691,0.254773095295512
"gene 234","gene 234",0.536661008004333,1.04529465866304,0.0470920224404021,0.255470632177822
"gene 871","gene 871",0.68286056170726,0.35173150643757,0.0468526670744902,0.256826959556509
"gene 466","gene 466",0.529072594210127,1.10896253554671,0.0467693917520498,0.257299723456417
"gene 148","gene 148",0.583654984737687,0.738293754438733,0.0467139408214151,0.257614775662332
"gene 265","gene 265",0.521392321240661,0.682708102873796,-0.0271566343618088,0.257906525535045
"gene 347","gene 347",0.513086969472236,1.26624765571317,0.0465668664073406,0.258451368724071
"gene 198","gene 198",0.450538266102167,1.15933138668677,-0.0270419835265995,0.258558947566976
"gene 488","gene 488",0.463173272812416,1.04197283234808,-0.0267872069105814,0.26001181105965
"gene 677","gene 677",0.544491180601519,0.968888850602997,0.045871278677462,0.262427014433272
"gene 154","gene 154",0.685515470572268,0.0762067710757798,-0.0263634443242505,0.262437607299755
"gene 355","gene 355",0.465357872419681,1.76569515871342,0.0458645109999762,0.26246584847155
"gene 771","gene 771",0.482679329157141,0.897959071636251,-0.0262478802459964,0.263101150086848
"gene  41","gene  41",0.567837001365615,0.508143934037917,-0.0261892533907225,0.263438099689082
"gene 278","gene 278",0.619107896605788,0.317452308288252,-0.02602771110895,0.264367679576851
"gene  28","gene  28",0.571936158118038,0.793661583646047,0.0455091089242364,0.264509329302176
"gene 622","gene 622",0.619162953142658,0.317452308288252,-0.0259726545720796,0.264684878339747
"gene 323","gene 323",0.535830545209267,0.629620565493792,-0.0259209460731833,0.264982964115701
"gene 912","gene 912",0.657835594981762,0.438582963928918,0.0453886354899307,0.265203856716295
"gene 251","gene 251",0.407297794961016,1.61285440948911,-0.0258823562042814,0.265205535568885
"gene 287","gene 287",0.567313091812608,0.817834290296441,0.045195158388353,0.266321183513787
"gene 259","gene 259",0.531282205327829,1.07335505109248,0.045126046893563,0.266720877840183
"gene 585","gene 585",0.476384616693715,0.945663734017259,-0.0254022730531206,0.267982382885639
"gene 919","gene 919",0.468739986052516,1.00610770048217,-0.0253658774230033,0.26819349418905
"gene  21","gene  21",0.492979083636454,0.840117614412476,-0.0253073151154404,0.268533357931058
"gene 235","gene 235",0.506014032798019,0.767281887591477,-0.0253061710118075,0.268539999840967
"gene 421","gene 421",0.486736996229133,1.51584758523867,0.0447653334238332,0.268811910641185
"gene 100","gene 100",0.574563710031899,0.486487843800437,-0.0250939173345707,0.269773631409965
"gene 211","gene 211",0.493206486365441,0.840117614412476,-0.025079912386453,0.269855128730968
"gene 885","gene 885",0.483102485343902,0.90369544285769,-0.0249398398152792,0.270670913817251
"gene 255","gene 255",0.51444868453891,0.727966185217491,-0.0245596597983672,0.272891277956846
"gene 635","gene 635",0.598610929491889,0.657293583944407,0.0440017160915158,0.27326554494634
"gene 713","gene 713",0.46500190534797,1.74705123122721,0.0438289825968325,0.27427802157513
"gene 948","gene 948",0.444538989721767,1.25020584045005,-0.0237093917400876,0.277889558080602
"gene 418","gene 418",0.548638714008348,0.920210730332335,0.0431030508280156,0.278553209137767
"gene 988","gene 988",0.458716703987123,1.10896253554671,-0.023586498470955,0.278615662456355
"gene 121","gene 121",0.451457842178982,1.18655840313993,-0.0235716334258019,0.278703553903547
"gene 703","gene 703",0.642681227520381,0.486487843800437,0.0430236001539112,0.279023076640324
"gene 941","gene 941",0.576143225598208,0.486487843800437,-0.0235144017682626,0.279042069242611
"gene 231","gene 231",0.457404990586288,1.12617027947986,-0.0232332849812692,0.280707723444141
"gene 336","gene 336",0.479316029138934,0.940763581733687,-0.0231821152566954,0.281011427395562
"gene 682","gene 682",0.642260545360445,0.486487843800437,0.0426029179939751,0.2815173747681
"gene  12","gene  12",0.631409874676081,0.528493987166077,0.0425568214047033,0.281791342043261
"gene 582","gene 582",0.538709767368693,0.629620565493792,-0.0230417239137577,0.281845496390438
"gene 860","gene 860",0.518519268061165,0.717270010221067,-0.0226673322369757,0.284075582431028
"gene  96","gene  96",0.559218310878074,0.847171131583033,0.0421175999324456,0.284408205475693
"gene 424","gene 424",0.669625319210236,0.383076607620891,0.0420982944967568,0.284523492355648
"gene 249","gene 249",0.539178952324332,0.629620565493792,-0.0225725389581187,0.284641560333491
"gene 570","gene 570",0.512792729787804,1.2253033781585,0.0418147827384604,0.286219113966613
"gene 119","gene 119",0.449931738381917,1.21419201847652,-0.0222752936430083,0.286419791694977
"gene 178","gene 178",0.632969642323094,0.279701100957027,-0.0222290296824764,0.286697033254231
"gene 112","gene 112",0.773222193285683,0.00445103562468561,0.0414823049439353,0.288213683381907
"gene 613","gene 613",0.548069592817892,0.59929241344176,-0.0218813455550173,0.288784626749041
